KIZ_code	Worksheet_filename	Country	reservecode	reservecode2	Protected_Area_Std_Name	Date_collected	Forest_Compartment	Original_ID_Code	Approx_number_leeches	WWF_SWG_ID	Carnivora.Canidae.Canis.lupus_familiaris	Carnivora.Felidae.Catopuma.UNK	Carnivora.Felidae.Neofelis.UNK	Carnivora.Felidae.Prionailurus.bengalensis	Carnivora.Felidae.UNK	Carnivora.Herpestidae.Herpestes.UNK	Carnivora.Mustelidae.Aonyx.cinereus	Carnivora.Mustelidae.Arctonyx.collaris	Carnivora.Mustelidae.Lutra.lutra	Carnivora.Mustelidae.Martes.flavigula	Carnivora.Mustelidae.Melogale.moschata	Carnivora.Mustelidae.Mustela.kathiah	Carnivora.Mustelidae.Mustela.UNK	Carnivora.Ursidae.Ursus.thibetanus	Carnivora.Viverridae.Arctictis.UNK	Carnivora.Viverridae.Paguma.larvata	Carnivora.Viverridae.Viverra.UNK1	Carnivora.Viverridae.Viverra.UNK2	Carnivora.Viverridae.Viverra.UNK3	Carnivora.Viverridae.Viverra.UNK4	reservecode3
WWF401	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41585	20, 21	NA	50	Q327	 0	 0	 0	 3	 0	19	 0	 0	 0	 0	27	 0	 0	 0	 0	 8	 0	 0	 0	 0	BMHQNXS
WWF402	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41585	20	NA	50	Q216	 0	 0	 3	 0	 3	39	 0	 0	18	 0	77	 0	 0	 0	 0	49	 0	 0	 0	 0	BMHQNXS
WWF403	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41586	20, 21	NA	50	Q21	  0	  0	  0	  0	  0	671	  0	  0	  0	  0	271	  0	  0	  0	  0	  0	  0	  0	  0	  0	BMHQNXS
WWF404	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41586	20, 21	NA	50	Q23	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  6	  0	  0	  0	  0	264	  0	  0	  0	  0	BMHQNXS
WWF405	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41586	20, 21	NA	50	Q133	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  6	  0	  0	  0	  0	730	  0	  0	  0	  0	BMHQNXS
WWF406	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41586	20, 21	NA	50	Q220	     0	     0	   139	     0	   713	     7	     0	     0	     0	    14	128816	     0	     0	     0	     0	     0	     0	     0	     0	     0	BMHQNXS
WWF407	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41586	20, 21	NA	50	Q329	   0	   0	   0	   0	   4	   0	   0	   0	   0	   0	7119	   0	   0	   0	   0	  16	   0	   0	   0	   0	BMHQNXS
WWF408	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41587	20, 21	NA	50	Q134	 0	 0	 0	 0	 0	 6	 0	 0	 0	 0	28	 0	 0	 0	 0	 3	 0	 0	 0	 0	BMHQNXS
WWF409	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41587	20, 21	NA	50	Q137	     0	     0	     0	     0	   238	 22918	     0	     0	 14485	     0	171507	   136	     5	     0	     0	     0	     0	     0	     0	     0	BMHQNXS
WWF41	tube_labels	Vietnam	HSL	HSL	HueSaoLaNR	NA	NA	H102	NA	NA	     0	     0	     0	     0	  3841	     0	     0	     0	     0	     0	266038	     0	     0	     0	     0	     0	     0	     0	     0	     0	BMHQNXS
WWF410	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41925	NA	NA	50	Q139	 684	   0	  33	 616	   7	 486	   0	   0	1517	   0	 161	   0	   0	   0	   0	   0	   0	   0	   0	   0	BMHQNXS
WWF411	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	NA	NA	NA	50	Q162	     0	     0	     0	     5	   725	    52	     0	     0	     0	     0	200786	     0	     0	     0	     0	    52	     0	     0	     0	     0	BMHQNXS
WWF412	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41587	20, 21	NA	50	Q331	   16	    0	    0	    0	    4	    0	    0	    0	    0	    0	40720	    0	    0	    0	    0	  444	    0	    0	    0	    0	BMHQNXS
WWF413	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41925	NA	NA	50	Q335	  0	  0	  0	 21	  8	112	  0	  0	  0	  0	528	  0	  0	  0	  0	 53	  0	  0	  0	  0	BMHQNXS
WWF414	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamNR	41587	20, 21	NA	50	Q25	     0	     0	     0	     5	  1444	    64	     0	     0	     0	   490	170838	     0	     0	     0	     0	 34858	     0	     0	     0	     0	BMHQNXS
WWF415	Leech_Combinations_20140919.xlsx	Vietnam	QNSL	QNSL	QuangNamSaoLaNR	41925	NA	NA	50	Q28	35725	    0	    0	    0	  139	    0	    0	    0	    0	    0	37140	    0	    0	    0	    0	    0	    0	    0	    0	    0	BMHQNXS
