taxid	lineage	name	rank	20180624110755_31.48.252.71.fa
-477	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Primates;order;unclassified_Primates;;	unclassified_Primates		3
326	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Insectivora;order;	Insectivora	order	1
2126	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Insectivora;order;Erinaceidae;family;	Erinaceidae	family	1
23164	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Insectivora;order;Erinaceidae;family;Hylomys;genus;	Hylomys	genus	1
146970	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Insectivora;order;Erinaceidae;family;Hylomys;genus;Hylomys suillus;species;	Hylomys suillus	species	1
4917	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Tragulidae;family;	Tragulidae	family	1
44094	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Tragulidae;family;Tragulus;genus;	Tragulus	genus	1
257733	root;root;Eukaryota;superkingdom;Chordata;phylum;Mammalia;class;Tragulidae;family;Tragulus;genus;Tragulus kanchil;species;	Tragulus kanchil	species	1
34	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;	Amphibia	class	27
135	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;	Anura	order	27
3123	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Megophryidae;family;	Megophryidae	family	4
25393	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Megophryidae;family;Leptobrachium;genus;	Leptobrachium	genus	1
-25394	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Megophryidae;family;Leptobrachium;genus;unclassified_Leptobrachium;;	unclassified_Leptobrachium		1
45722	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Megophryidae;family;Xenophrys;genus;	Xenophrys	genus	2
265293	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Megophryidae;family;Xenophrys;genus;Xenophrys major;species;	Xenophrys major	species	1
-45723	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Megophryidae;family;Xenophrys;genus;unclassified_Xenophrys;;	unclassified_Xenophrys		1
4305	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;	Rhacophoridae	family	7
24603	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Kurixalus;genus;	Kurixalus	genus	1
155168	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Kurixalus;genus;Kurixalus banaensis;species;	Kurixalus banaensis	species	1
34790	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Philautus;genus;	Philautus	genus	1
211325	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Philautus;genus;Philautus abditus;species;	Philautus abditus	species	1
38688	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Rhacophorus;genus;	Rhacophorus	genus	2
231717	root;root;Eukaryota;superkingdom;Chordata;phylum;Amphibia;class;Anura;order;Rhacophoridae;family;Rhacophorus;genus;Rhacophorus annamensis;species;	Rhacophorus annamensis	species	1
